Name,Review,SkuInfo,Date,StarCount
Hannah O.,Wear this mask since covid time. Good. can breath well with it,color_family:White,12 Jun 2024,5
****8,mask received in 2 days. no problem in delivery or packaging. masks were all good.,color_family:Black,15 Feb 2024,5
****8,mask received in 2 days. delivery fast. packed nicely. no problem.,color_family:White,15 Feb 2024,5
0***8,"一份💰一份货，material is very thin, but acceptable.
fast delivery
well packaging
goods received with thanks",color_family:Purple,06 Dec 2023,5
Jane C.,Item received in good condition. Good product. Thank you very much!,color_family:Black,16 Jan 2024,5
0***8,"rm0.30/10 pcs, but material is very thin, still can acceptable for normal use....",color_family:Red,06 Dec 2023,5
S***.,Fast delivery. Value for money. Come with good conditions. Thank you seller.,color_family:Careion 3D White,05 Dec 2023,5
天***.,"received in good condition. thank you so
 much.however some more one year baru expired.",color_family:White,11 Oct 2023,5
E***.,RM0 TNG eWallet: Auto payment enabled and account will be debited on your next payment with LAZADA MY. Did not make this request? Contact careline.,color_family:Careion 3D Black,22 Sep 2023,5
susilawati,"semua barang ok boss
thankyou
nanti boleh la reapet lagi ya
⭐⭐⭐⭐⭐",color_family:White,16 Nov 2023,5
0***0,"Comfortable fit and secure., Effective four-layer filtration., Highly recommended!, Convenient earloop design., Easy to wear and remove.,",color_family:White,13 Jun 2024,5
Jing W.,I have received the goods. There is no defect in the goods. The packaging is very good. Thank you………,color_family:White,11 Jun 2024,5
Y***.,"Great quality material., Perfect size for adults., Effective four-layer filtration.,",color_family:White,4  weeks ago,5
Shahlene S.,my 5ft purchase..... trusted seller.....fast Delivery.....well packaging......,color_family:Black,3  weeks ago,5
TAN Y.,"Stylish black color., Comfortable fit and secure., Effective four-layer filtration.,",color_family:Black,28 Jun 2024,5
k***.,good and fast delivery and good pecking thanks give you ⭐⭐⭐⭐⭐,color_family:Black,03 Oct 2023,5
Loh S.,"Received in very good condition, price is good, worth to buy for try, quality is good, acceptable quality, good packaging, fast delivery, really good delivery service, happy and satisfied with my purchased, trusted seller",color_family:Black,20 May 2024,5
L***.,GOOD KUALITI BARANG SEMUA OK POS PUN CEPAT DAPT THANK SELLER  BARANG SEMUA OK THANK YE NEXT TIME BELI LAGI,color_family:Black,14 Apr 2023,5
Y***.,fast delivery. proper packing and mask in good condition.,color_family:White,1  day ago,5
Y***.,fast delivery. proper packing and mask in good condition.,color_family:Black,1  day ago,5
f***.,alhamdulillah..face mask dah selamat sampai & tepat seperti yang dipesan (Dari segi warna & jumlah paket). terima kasih,color_family:Navy Blue,20 Jun 2023,5
Joey J.,已经购买无限次数了，还会继续回购这家店的商品～邮寄很快也很准时送到家～👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,color_family:White,11 Jun 2023,5
*******843,Good product quality good value for money and excellent service by sellers n fast delivery,color_family:putih,11 May 2023,5
S***.,barang sudah sampai dan diterima dalam keadaan baik. barangnya cukup. tq seller 😎😎😎,color_family:Black,16 Aug 2023,5
siah,"oookkkkkkkk .................
..........................",color_family:Black,3  weeks ago,5
S***h,"value for money!!!
fast delivery
cheap 
quality ok 
will repeat order again",color_family:Headloop Black,09 Jul 2023,5
Ng M.,"Well packed n fast delivery, thank you so much Lazada n seller",color_family:Black,14 Jun 2024,5
L***.,"Fast delivery, items received in good condition, good value for money.",color_family:White,20 May 2024,5
Loh S.,"Received in very good condition, price is good, worth to buy for try, quality is good, acceptable quality, good packaging, fast delivery, really good delivery service, happy and satisfied with my purchased, trusted seller",color_family:Black,02 Apr 2024,5
Kuan W.,"Received my parcel in good condition, thank you very much to seller",color_family:Light Brown,15 Jun 2023,5
****8,mask all good. delivery fast. cheap price. thanks seller. stay safe,color_family:Black,28 Apr 2023,5
1***3,"Comfortable fit and secure., Effective four-layer filtration., Great quality material.",color_family:Black,02 May 2024,5
W***.,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,Color Family:Navy Blue,24 Dec 2021,5
wong H.,"Stylish black color.,",color_family:Black,3  weeks ago,5
Erene K.,很快收到快递，一分钱一分货，比之前买的稍微单薄了一点，不过，还是可以用啦！下次还是买回比较后的，暂时用玩先了，,color_family:Black,26 May 2024,5
Erene K.,很快收到快递，一分钱一分货，比之前买的单薄了许多，不过还是可以用啦！下次可能还是买回比较后的。没办法了就用着先吧！,color_family:White,26 May 2024,5
seelina,Fast shipping and delivery. Well packaging and received in good condition,color_family:White,21 Apr 2024,5
y***g,"I am so happy that I have received the goods today, I am very satisfied and happy 🥰👍❤️",color_family:Light Brown,16 Mar 2023,5
Rokiah A.,best best best best best best love it.thks seller thks raider,color_family:Coklat gelap,08 Feb 2023,5
Ke C.,fast delivery good value for money very very good buy buy buy,color_family:Black,17 Dec 2022,5
*******843,Good product quality good value for money and excellent service by sellers n fast delivery,color_family:GreyPattern20PCS,21 Nov 2022,5
C***.,good packing and very fast delivery,color_family:White,22 Oct 2022,5
J***.,Received all the colours that I ordered. Thank u seller.,color_family:Grey,03 Nov 2022,5
Gan W.,"order 10/9 pos keluar 12/9 sampai 20/9
Macam order kat overseas 😄",color_family:Navy Blue,20 Sep 2022,5
D***.,Penghantaran laju. Ketebalan mask sederhana..x terlalu tebal n x terlalu nipis. Selesa dipakai. Tp seller hantar salah warna. Oder warna dark red tapi yang diterima warna shocking pink. Hopefully next oder seller will check properly before posted to customers. I've odered the masks several time but tis is the 1st time received different colour. tq seller👍,color_family:Light Brown,27 Aug 2022,5
L***.,Fast delivery. Received in good condition. The mask is very thin.,color_family:Purple,16 Aug 2022,5
J***.,"The goods have been received, the goods are free of any defects, and the packaging is very good.  thanks………",color_family:White,12 Aug 2022,5
Azlin I.,Dah sampai. Tq,color_family:Black,11 Aug 2022,5
c***.,"the Gray Mask seems softer then others 
thanks seller n courier",Color Family:Light Brown,11 Aug 2022,5
susilawati,"barang dah sampai dah boss
kenapa bungkusan lain2 bosssqu...
apa2 pon ⭐⭐⭐⭐⭐",Color Family:Hitam,20 Jul 2022,5
*******470,"facemask selamat diterima,tebal dan tak ada bau, recommended,nanti boleh beli lagi",Color Family:Merah jambu,15 Jul 2022,5
Alvin Y.,very fast delivery and all well packed. items were as described and hope the quality is good. have not tested it used it yet. thank you seller. sorry didn't use the actual picture and video of item.,Color Family:Grey,14 Jul 2022,5
H***.,"thank you seller, received stock in good condition 👍👍👍👍👍",Color Family:Navy Blue,13 Jul 2022,5
L***.,"Barang di terima dlm keadaan baik, penghantaran pun ok, harganya pun ok, semuanya barang cukup.",Color Family:Dark Brown,11 Jul 2022,5
Siti M.,Parcel sampai dgn selamat. Harga sgt2 berpatutan. Thank you seller ❤️,Color Family:Light Brown,29 Jun 2022,5
Ceisya U.,semua item cukup 👍 terima kasih seller 👍 penghantaran pun cepat 👍 bungkusan pun rapi 👍,Color Family:Navy Blue,17 Jun 2022,5
L***I,very thin quality ....looks like is just dust proof mask only,Color Family:Black,17 Jun 2022,5
Siti Z.,i love it so much . cheap with good quality . definitely will repeat again with this seller . thanks so much . also delivey so fast .,Color Family:Green,27 May 2022,5
M***.,"Terima Kasih seller,,, barang telah selamat sampai ke destinasi dengan selamat... nanti boleh order lagi dengan seller... terbaik 😎👍",Color:Dark Brown,30 Apr 2022,5
A***2,"Good.. Received items as per orderd, cheap and qood quality,thank you seller.",Color Family:Dark Brown,28 Apr 2022,5
s***.,thank you seller n courier🫶🏻🚚cukup semua mask yg di order👍🏻murah pun murah so berbaloi👍🏻,Color Family:Grey,27 Apr 2022,5
N***r,berbaloi dengan harga.  selesa.dipakai,Color:Light Brown,23 Apr 2022,5
Shahriman S.,order 15/4 terima brg 19/4..qualiti yang berpatutan.. penghantaran yang baik..terima kasih seller..berpuas hati dgn pembelian..,Color Family:Black,19 Apr 2022,5
********120,"fast Delivery,good quality,can choice this shop❤️❤️❤️❤️",Color Family:Black,11 Apr 2022,5
Mohd R.,ok dah sampai elok tq seller tq Lazada tq hntr,Color:Navy Blue,06 Apr 2022,5
Lucy T.,"products received completely, good product quality and good value for money",Color Family:Light Blue,19 Feb 2022,5
Y***.,"receive with good good good condition 
quality so so
no very thick 
but acceptable",color_family:Ombre Gradient,24 Sep 2022,5
F***.,"The color is beautiful, I love it, and it's cheap, will repurchase.",Color Family:Light Brown,13 Jul 2022,5
Rokiah A.,barang diterima dalam keadaan yg memuaskn thks seller thks raider,color_family:Kuning,26 Aug 2022,5
E***.,Fast shipping... quality is good... Nice seller... cheap... RECOMMENDED ... will repeat again... thank you very much seller,Color Family:Headloop Purple,28 May 2022,5
1***5,"thank you for the prompt delivery 🚚🚚🚚🚚🚚
thank you for the fast response 🙂🙂🙂🙂🙂🙂🙂",color_family:Purple,22 Aug 2022,5
L***.,Lihatlah sendiri kualiti produk ini. kali pertama mendapat produk seperti ini.,color_family:Black,04 Aug 2022,5
w***i,terbaik terbaik terbaik terbaik terbaik terbaik terbaik terbaik,Color Family:Headloop Purple,17 Jun 2022,5
Lin Y.,东西已经收到了哦！价钱方面也是很合理和公道的哦！品质方面也是很不错的哦！包装方面也是很不错的哦！okok,Color:Purple,09 Mar 2022,5
L***.,"Fast delivery, good value for money, excellent service by seller👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",Color Family:White,14 Jan 2022,5
Nor A.,thankyou seller..barang dah terima..murah dr pasaran..mask pon ok sgt..will repeat again..pic xde kne mengene..,Color Family:Navy Blue,23 Jun 2022,5
K***.,"product quality ok, 
value for money, 
but took 7days to arrive.",Color Family:Light Blue,30 Dec 2021,5
L***.,okla..berbaloi beli sini.. harga pon murah dari kedai lain  ......,Color Family:Black,21 Dec 2021,5
Y***.,"Fast delivery, received in good condition.",Color Family:Grey,16 Dec 2021,5
Tay K.,Good seller，good product，fast delivery，value with money！,color_family:Black,19 Apr 2024,5
Joceyln N.,"Very good
Loves it
Colourful for everyday usage
Nicely packed",Color Family:Navy Blue,13 Dec 2021,5
0***5,Tq so much,color_family:Dark Blue,28 Apr 2023,5
1***9,"biruu jeeee agakk teball. yg hitam dan hijau tu macam nipis sikit. lagi 1, yang hijau tu x macam emeraldds hijau gelap tu. dia macam hijauu bertompok. tapi xpela murah",Color Family:Navy Blue,10 Dec 2021,5
Yachiru,"cntik warna2 dia soft je pink n purple, i dont like purple tp warna hitam n putih dh ada beli p lh, lgpn pkai buang je yg penting meet the purpose. rm1.30/pack je for 10pcs is a best deal, tq seller 
seller nice👍",Color Family:Purple,08 Dec 2021,5
Mickey C.,tq seller.... received in good condition.... sorry that no photo....,color_family:White,27 Mar 2024,5
J***.,Good product quality and good value for money.  May buy again from the seller,Color Family:Navy Blue,07 Dec 2021,5
Ain F.,fast deliveryy cantikk purple nya smoothh jeee thank you sellerr then murahhh pasni leh repeat order lagii..borahaeeee!!!^_^,Color Family:Purple,03 Dec 2021,5
*******033,收到了   谢谢,color_family:Black,14 Jun 2024,5
N***.,"penghantaran lajuuu , okey la mask pun , suka ii thank you seller <3",Color Family:White,24 Nov 2021,5
Faridzul H.,"Good price offered. Not too thin, not too thick but comfortable. Product overall ok cuma courier service agak slow.. Order ahad khamis baru smpai even within selangor.",Color Family:Navy Blue,01 Jan 2022,5
Haru C.,"Nice nice nice
Good good good
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻",color_family:Black,03 Mar 2024,5
NorSyawalida B.,"Easy to wear and remove.,  Convenient earloop design., Effective four-layer filtration., Waterproof and dustproof.,",color_family:Careion 3D White,14 Dec 2023,5
NorSyawalida B.,"Secure nose clip for better fit., Comfortable fit and secure., Easy to wear and remove., Perfect size for adults.,",color_family:Grey,14 Dec 2023,5
NorSyawalida B.,"Easy to wear and remove., Waterproof and dustproof., Perfect size for adults.,",color_family:Navy Blue,14 Dec 2023,5
Nur N.,Items received as advertised. Fast shipping by seller. Satisfied with the purchase. Thank you so much.,color_family:Black,27 Oct 2023,5
M***.,"Comfortable fit and secure., Stylish black color., Convenient earloop design.,",color_family:Black,24 Nov 2023,5
S***.,Fast delivery. Value for money. Come with good conditions. Thank you seller.,color_family:Purple,05 Dec 2023,5
慧***7,"The quality of the mask is very good, and it arrived quickly. It is very comfortable to wear.",color_family:Black,01 Nov 2023,5
Cero L.,"Fast delivery and good quality , Fast delivery and good quality",color_family:Navy Blue,16 Dec 2023,5
P***g,"fast delivery, good value for money, comfortable to wear, will purchase again next time",color_family:Red,17 Nov 2023,5
F***y,"Secure nose clip for better fit., Great quality material., Easy to wear and remove.,",color_family:White,15 Nov 2023,5
****2,Fast delivery,color_family:White,14 Mar 2024,5
Wong M.,"Fast delivery, nice seller respond. Item receive in correct quantity and good quality. Thanks",color_family:Careion 3D Black,16 Oct 2023,5
Tan C.,FAST DELIVERY ，GOOD SERVICE AND VALUE FOR MONEY ，WILL BUY AGAIN ，COURIER ALSO VERY GOOD SERVICE ！TOTALLY OK …,color_family:Black,27 Sep 2023,5
CQY,Good👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,color_family:Careion 3D White,26 Sep 2023,5
Yeng X.,good goodGoodgood goodGoodgood goodGoodgood goodGoodgood goodGoodgood goodGoodgood goodGood,color_family:Black,12 Oct 2023,5
wallace K.,"Great product, good packaging and fast delivery will repurchase again",color_family:White,16 Nov 2023,5
P***g,"good value for money, fast delivery, good product quality, thank you seller",color_family:White,17 Nov 2023,5
F***y,"Easy to wear and remove., Waterproof and dustproof., Highly recommended!,",color_family:White,15 Nov 2023,5
Ching Y.,"fast delivery. some packaging plastic not the same, haven't use yet. cannot review quality.",Color Family:Light blue,17 Apr 2022,5
E***.,"masks tu ok lah boleh pakai, barang dah sampai dengan Selamat, penghantaran pun laju, harga memang berpatutan 👍👍👍👍👍👍👍👍👍👍",Color Family:Pink,06 Feb 2022,5
0***6,barang smpai dlm keadaaan elok ...pueh hati brang padan dgn harga,Color Family:Black,15 May 2022,5
l***n,"Mask is a bit thinner than the ones that I have used before, will probably use it for places that are not so crowded. Two of the masks do not have ear loops and were stuck together so could not be used. Seller asked me to return n refund all the masks which is troublesome for two spoilt masks so I just accept. Seller should check their products before sending out to customers",color_family:Light Brown,22 Mar 2023,5
Najahie,"pembungkusan yg kemas, penghantaran yg cepat.... Good Good Good",color_family:Headloop Purple,19 Nov 2023,5
